country,player_name,0s,100s,50s,Avg,Ca,HS,Inns,Mat,NO,Runs,S/R,St,Year
AFG,Najeeb Tarakai,0,0,0,5,0,5,1,1,0,5,27.78,0,2017
AFG,Najeeb Tarakai,0,0,0,5,0,5,1,1,0,5,27.78,0,Overall
AFG,Naveen -ul-Haq,0,0,0,,2,0*,1,2,1,0,,0,2016
AFG,Naveen -ul-Haq,0,0,0,9,0,8*,2,2,1,9,45,0,2019
AFG,Naveen -ul-Haq,0,0,0,9,2,8*,3,4,2,9,42.86,0,Overall
AFG,Zakiullah Zaki,0,0,0,,0,3*,1,1,1,3,13.64,0,2012
AFG,Zakiullah Zaki,0,0,0,,0,3*,1,1,1,3,13.64,0,Overall
AFG,Usman Ghani,1,1,2,39.5,2,118,8,8,0,316,78.61,0,2014
AFG,Usman Ghani,1,0,0,15.33,1,48,6,6,0,92,90.2,0,2015
AFG,Usman Ghani,0,0,0,3,0,3,1,1,0,3,18.75,0,2017
AFG,Usman Ghani,2,1,2,27.4,3,118,15,15,0,411,79.04,0,Overall
AFG,Karim Sadiq,0,0,0,20,0,20,1,1,0,20,90.91,0,2009
AFG,Karim Sadiq,3,1,0,23.5,3,114*,12,13,2,235,74.13,0,2010
AFG,Karim Sadiq,0,0,0,17.5,1,34,2,2,0,35,109.38,0,2011
AFG,Karim Sadiq,0,1,0,33.6,2,100,5,5,0,168,101.2,0,2012
AFG,Karim Sadiq,0,0,0,,0,0,0,1,0,0,,0,2013
AFG,Karim Sadiq,0,0,0,12,0,12,1,1,0,12,33.33,0,2014
AFG,Karim Sadiq,0,0,0,5,0,5,1,1,0,5,35.71,0,2016
AFG,Karim Sadiq,3,2,0,23.75,6,114*,22,24,2,475,80.92,0,Overall
AFG,Ibrahim Zadran,0,0,0,2,1,2,1,1,0,2,22.22,0,2019
AFG,Ibrahim Zadran,0,0,0,2,1,2,1,1,0,2,22.22,0,Overall
AFG,Amir Hamza,1,0,0,3,0,3*,2,2,1,3,20,0,2012
AFG,Amir Hamza,0,0,0,,1,0,0,4,0,0,,0,2013
AFG,Amir Hamza,0,0,0,1,3,1,2,5,1,1,6.25,0,2014
AFG,Amir Hamza,0,0,0,6,1,4,3,7,2,6,26.09,0,2015
AFG,Amir Hamza,0,0,0,2,0,3,2,3,0,4,18.18,0,2016
AFG,Amir Hamza,0,0,0,4.5,5,7,7,10,5,9,50,0,2017
AFG,Amir Hamza,1,0,0,3.29,10,7,16,31,9,23,24.47,0,Overall
AFG,Afsar Zazai,0,0,2,34.75,5,60,4,4,0,139,56.28,1,2014
AFG,Afsar Zazai,3,0,0,11.44,14,48*,10,10,1,103,54.21,0,2015
AFG,Afsar Zazai,0,0,0,11,1,13,2,3,0,22,43.14,1,2017
AFG,Afsar Zazai,3,0,2,17.6,20,60,16,17,1,264,54.1,2,Overall
AFG,Abdullah Mazari,0,0,0,3,1,3,1,2,0,3,18.75,0,2010
AFG,Abdullah Mazari,0,0,0,3,1,3,1,2,0,3,18.75,0,Overall
AFG,Hashmatullah Shahidi,1,0,0,13,1,13*,2,2,1,13,59.09,0,2013
AFG,Hashmatullah Shahidi,0,0,0,22.33,1,38*,4,4,1,67,58.77,0,2014
AFG,Hashmatullah Shahidi,1,0,1,25.33,3,72,6,6,0,152,54.68,0,2016
AFG,Hashmatullah Shahidi,0,0,0,22.5,0,32,5,5,1,90,63.38,0,2017
AFG,Hashmatullah Shahidi,1,0,4,58.83,1,97*,8,8,2,353,70.46,0,2018
AFG,Hashmatullah Shahidi,1,0,4,29.77,3,76,14,14,1,387,63.44,0,2019
AFG,Hashmatullah Shahidi,4,0,9,32.18,9,97*,39,39,6,1062,63.71,0,Overall
UAE,Mohammad Shahzad,2,0,2,35.25,2,79,4,4,0,141,88.13,0,2014
UAE,Mohammad Shahzad,0,0,0,24.5,0,28,2,2,0,49,75.38,0,2016
UAE,Mohammad Shahzad,2,0,2,31.67,2,79,6,6,0,190,84.44,0,Overall
AFG,Hamid Hassan,0,0,0,,0,0*,2,3,2,0,,0,2009
AFG,Hamid Hassan,0,0,0,8.2,1,17,5,9,0,41,62.12,0,2010
AFG,Hamid Hassan,0,0,0,1,0,1,1,2,0,1,33.33,0,2011
AFG,Hamid Hassan,0,0,0,,0,0,0,4,0,0,,0,2013
AFG,Hamid Hassan,0,0,0,6,1,6,1,3,0,6,100,0,2014
AFG,Hamid Hassan,3,0,0,7.6,2,16,7,9,2,38,43.68,0,2015
AFG,Hamid Hassan,0,0,0,6,0,6,1,2,0,6,85.71,0,2016
AFG,Hamid Hassan,1,0,0,5,1,7*,5,6,2,15,62.5,0,2019
AFG,Hamid Hassan,4,0,0,6.69,5,17,22,38,6,107,54.87,0,Overall
AFG,Aftab Alam,0,0,0,,0,6*,1,3,1,6,60,0,2010
AFG,Aftab Alam,0,0,0,1,1,1,1,2,0,1,50,0,2014
AFG,Aftab Alam,1,0,0,6,0,14,6,7,3,18,69.23,0,2015
AFG,Aftab Alam,0,0,0,,5,16*,4,8,4,36,78.26,0,2018
AFG,Aftab Alam,2,0,0,6.33,0,14,5,7,2,19,82.61,0,2019
AFG,Aftab Alam,3,0,0,11.43,6,16*,17,27,10,80,74.77,0,Overall
AFG,Shapoor Zadran,0,0,0,1,0,1,1,2,0,1,14.29,0,2009
AFG,Shapoor Zadran,2,0,0,5.67,0,17,7,11,4,17,56.67,0,2010
AFG,Shapoor Zadran,1,0,0,3,0,2*,3,3,2,3,18.75,0,2012
AFG,Shapoor Zadran,0,0,0,,1,0,0,2,0,0,,0,2013
AFG,Shapoor Zadran,0,0,0,6.67,3,7*,6,12,3,20,47.62,0,2014
AFG,Shapoor Zadran,0,0,0,,0,12*,6,7,6,17,68,0,2015
AFG,Shapoor Zadran,0,0,0,,0,2*,1,2,1,2,33.33,0,2016
AFG,Shapoor Zadran,1,0,0,0,0,0,1,1,0,0,,0,2017
AFG,Shapoor Zadran,0,0,0,7,1,7,2,3,1,7,26.92,0,2018
AFG,Shapoor Zadran,0,0,0,,0,0,0,1,0,0,,0,2019
